ORIGIN_CLUSTER,DESTINATION_CLUSTER,FLOW_WEIGHT,ORIGIN_CENTROID_LON,ORIGIN_CENTROID_LAT,DESTINATION_CENTROID_LON,DESTINATION_CENTROID_LAT,DOMINANT_TIME_BIN,DOMINANT_ORIGIN_ZONE,DOMINANT_DESTINATION_ZONE,DISTANCE_KM,DISTANCE_BIN
108,0,11,-75.59038299,6.195553216,-75.58540678,6.242100447,AM_PEAK,Guayabal,El Poblado,5.204964083811072,Medium
118,200,1,-75.58117004,6.301188642,-75.56920733,6.256186139,AM_PEAK,Doce de Octubre,La Candelaria,5.175786488091338,Medium
121,0,7,-75.54499255,6.287724471,-75.58540678,6.242100447,AM_PEAK,Popular,El Poblado,6.759527940552614,Medium
119,0,7,-75.53976891,6.290280245,-75.58540678,6.242100447,AM_PEAK,Popular,El Poblado,7.358462303421138,Medium
1,0,33,-75.52992392,6.235032266,-75.58540678,6.242100447,AM_PEAK,Villa Hermosa,El Poblado,6.18303306756164,Medium
123,0,5,-75.57995994,6.304046577,-75.58540678,6.242100447,AM_PEAK,Doce de Octubre,El Poblado,6.914354888059858,Medium
121,201,1,-75.54499255,6.287724471,-75.56536944,6.243308124,AM_PEAK,Popular,La Candelaria,5.4281850710176425,Medium
107,201,1,-75.59366105,6.198994224,-75.56536944,6.243308124,AM_PEAK,Guayabal,La Candelaria,5.83613158743991,Medium
101,0,10,-75.62184875,6.181463933,-75.58540678,6.242100447,AM_PEAK,Itagui-Comuna 01,El Poblado,7.854215980703385,Medium
0,219,5,-75.58412766,6.24279024,-75.54169987,6.28667093,AM_PEAK,El Poblado,Popular,6.767558335861629,Medium
118,0,5,-75.58117004,6.301188642,-75.58540678,6.242100447,AM_PEAK,Doce de Octubre,El Poblado,6.586974351889484,Medium
0,202,136,-75.58412766,6.24279024,-75.57302917,6.237404998,AM_PEAK,El Poblado,La Candelaria,1.3651278847081767,Short
3,200,4,-75.54265996,6.252286773,-75.56920733,6.256186139,AM_PEAK,Villa Hermosa,La Candelaria,2.966225032472636,Short
3,0,34,-75.54265996,6.252286773,-75.58540678,6.242100447,AM_PEAK,Villa Hermosa,El Poblado,4.858867365211708,Short
0,201,114,-75.58412766,6.24279024,-75.56536944,6.243308124,AM_PEAK,El Poblado,La Candelaria,2.0742485444460006,Short
0,200,254,-75.58412766,6.24279024,-75.56920733,6.256186139,AM_PEAK,El Poblado,La Candelaria,2.222308821558731,Short
0,216,8,-75.58412766,6.24279024,-75.60598522,6.240672994,AM_PEAK,El Poblado,Laureles-Estadio,2.4274854552264418,Short
100,201,2,-75.56670406,6.236365923,-75.56536944,6.243308124,AM_PEAK,La Candelaria,La Candelaria,0.7859076390564099,Short
0,210,25,-75.58412766,6.24279024,-75.56138311,6.251153007,AM_PEAK,El Poblado,La Candelaria,2.680524626805393,Short
0,203,27,-75.58412766,6.24279024,-75.55695878,6.249559085,AM_PEAK,El Poblado,La Candelaria,3.0959899361585745,Short
2,200,3,-75.54164954,6.23269857,-75.56920733,6.256186139,AM_PEAK,Buenos Aires,La Candelaria,4.012446749291579,Short
3,201,7,-75.54265996,6.252286773,-75.56536944,6.243308124,AM_PEAK,Villa Hermosa,La Candelaria,2.701438558632361,Short
2,0,10,-75.54164954,6.23269857,-75.58540678,6.242100447,AM_PEAK,Buenos Aires,El Poblado,4.948473347565089,Short
0,217,5,-75.58412766,6.24279024,-75.56794375,6.274627529,AM_PEAK,El Poblado,Aranjuez,3.966432328070369,Short
1,200,6,-75.52992392,6.235032266,-75.56920733,6.256186139,AM_PEAK,Villa Hermosa,La Candelaria,4.938367337717463,Short
0,215,8,-75.58412766,6.24279024,-75.60998484,6.24285198,AM_PEAK,El Poblado,La America,2.8581455341319395,Short
102,213,1,-75.56805431,6.249944195,-75.57030413,6.205496434,AM_PEAK,La Candelaria,El Poblado,4.948618472975863,Short
0,208,8,-75.58412766,6.24279024,-75.56472196,6.23804716,AM_PEAK,El Poblado,La Candelaria,2.2089156416473434,Short
0,220,6,-75.58412766,6.24279024,-75.56082051,6.281152276,AM_PEAK,El Poblado,Aranjuez,4.98322784679459,Short
115,201,1,-75.58695057,6.229950052,-75.56536944,6.243308124,AM_PEAK,Guayabal,La Candelaria,2.810146264573145,Short
100,200,2,-75.56670406,6.236365923,-75.56920733,6.256186139,AM_PEAK,La Candelaria,La Candelaria,2.2212091645888328,Short
3,203,1,-75.54265996,6.252286773,-75.55695878,6.249559085,AM_PEAK,Villa Hermosa,La Candelaria,1.6093429137922954,Short
1,202,2,-75.52992392,6.235032266,-75.57302917,6.237404998,AM_PEAK,Villa Hermosa,La Candelaria,4.772021071221652,Short
0,218,5,-75.58412766,6.24279024,-75.56387998,6.255296899,AM_PEAK,El Poblado,La Candelaria,2.6349387584664545,Short
2,203,1,-75.54164954,6.23269857,-75.55695878,6.249559085,AM_PEAK,Buenos Aires,La Candelaria,2.5255691143150187,Short
114,0,6,-75.60494322,6.281522505,-75.58540678,6.242100447,AM_PEAK,Robledo,El Poblado,4.886546420852074,Short
106,211,1,-75.56336725,6.271897092,-75.56483069,6.270810191,AM_PEAK,Aranjuez,Aranjuez,0.20191769322055064,Short
1,203,2,-75.52992392,6.235032266,-75.55695878,6.249559085,AM_PEAK,Villa Hermosa,La Candelaria,3.396947590016313,Short
111,200,3,-75.58616036,6.283836346,-75.56920733,6.256186139,AM_PEAK,Robledo,La Candelaria,3.600571877425885,Short
106,200,2,-75.56336725,6.271897092,-75.56920733,6.256186139,AM_PEAK,Aranjuez,La Candelaria,1.8624222017751026,Short
0,204,4,-75.58412766,6.24279024,-75.56454787,6.248522181,AM_PEAK,El Poblado,La Candelaria,2.256150086994659,Short
120,200,1,-75.54836726,6.292164451,-75.56920733,6.256186139,AM_PEAK,Popular,La Candelaria,4.616344495944356,Short
3,204,1,-75.54265996,6.252286773,-75.56454787,6.248522181,AM_PEAK,Villa Hermosa,La Candelaria,2.4553037415837595,Short
115,203,1,-75.58695057,6.229950052,-75.55695878,6.249559085,AM_PEAK,Guayabal,La Candelaria,3.967953930498629,Short
102,220,2,-75.56805431,6.249944195,-75.56082051,6.281152276,AM_PEAK,La Candelaria,Aranjuez,3.5611013575356543,Short
119,214,1,-75.53976891,6.290280245,-75.54236457,6.299891719,AM_PEAK,Popular,Popular,1.1065816050237327,Short
112,200,2,-75.58538587,6.241227419,-75.56920733,6.256186139,AM_PEAK,Laureles-Estadio,La Candelaria,2.4422606604903376,Short
104,2,1,-75.56106575,6.297248105,-75.53051534,6.234577944,MIDDAY,Castilla,Villa Hermosa,7.743637816163749,Medium
0,0,2999,-75.58412766,6.24279024,-75.58540678,6.242100447,MIDDAY,El Poblado,El Poblado,0.16085326809540654,Short
102,202,25,-75.56805431,6.249944195,-75.57302917,6.237404998,MIDDAY,La Candelaria,La Candelaria,1.4988150418141828,Short
102,201,13,-75.56805431,6.249944195,-75.56536944,6.243308124,MIDDAY,La Candelaria,La Candelaria,0.795340099133665,Short
107,0,5,-75.59366105,6.198994224,-75.58540678,6.242100447,MIDDAY,Guayabal,El Poblado,4.879265161322635,Short
113,0,8,-75.59022345,6.28353626,-75.58540678,6.242100447,MIDDAY,Robledo,El Poblado,4.638109290104366,Short
106,217,1,-75.56336725,6.271897092,-75.56794375,6.274627529,MIDDAY,Aranjuez,Aranjuez,0.5899575931030905,Short
105,200,1,-75.56436259,6.262664373,-75.56920733,6.256186139,MIDDAY,La Candelaria,La Candelaria,0.8975848494926606,Short
1,201,2,-75.52992392,6.235032266,-75.56536944,6.243308124,MIDDAY,Villa Hermosa,La Candelaria,4.024634890912564,Short
0,211,8,-75.58412766,6.24279024,-75.56483069,6.270810191,MIDDAY,El Poblado,Aranjuez,3.775829609872381,Short
115,0,5,-75.58695057,6.229950052,-75.58540678,6.242100447,MIDDAY,Guayabal,El Poblado,1.3617963501734531,Short
124,0,6,-75.5605341,6.265743052,-75.58540678,6.242100447,MIDDAY,Aranjuez,El Poblado,3.803909311817127,Short
0,209,6,-75.58412766,6.24279024,-75.57371321,6.268514775,MIDDAY,El Poblado,Castilla,3.0833787239740453,Short
100,217,1,-75.56670406,6.236365923,-75.56794375,6.274627529,MIDDAY,La Candelaria,Aranjuez,4.256702537179632,Short
3,202,5,-75.54265996,6.252286773,-75.57302917,6.237404998,MIDDAY,Villa Hermosa,La Candelaria,3.742569369565943,Short
116,201,1,-75.58169531,6.246122296,-75.56536944,6.243308124,MIDDAY,Laureles-Estadio,La Candelaria,1.8315122697109487,Short
102,210,3,-75.56805431,6.249944195,-75.56138311,6.251153007,MIDDAY,La Candelaria,La Candelaria,0.7495443037620114,Short
106,209,1,-75.56336725,6.271897092,-75.57371321,6.268514775,MIDDAY,Aranjuez,Castilla,1.2037956227092015,Short
1,204,1,-75.52992392,6.235032266,-75.56454787,6.248522181,MIDDAY,Villa Hermosa,La Candelaria,4.110641292430336,Short
100,1,1,-75.56670406,6.236365923,-75.54797436,6.2353306,MIDDAY,La Candelaria,Buenos Aires,2.0735232924895945,Short
111,0,7,-75.58616036,6.283836346,-75.58540678,6.242100447,MIDDAY,Robledo,El Poblado,4.641567655786696,Short
0,213,4,-75.58412766,6.24279024,-75.57030413,6.205496434,MIDDAY,El Poblado,El Poblado,4.4194517944446385,Short
3,2,2,-75.54265996,6.252286773,-75.53051534,6.234577944,MIDDAY,Villa Hermosa,Villa Hermosa,2.383179940090384,Short
102,3,3,-75.56805431,6.249944195,-75.54146829,6.242984796,MIDDAY,La Candelaria,Villa Hermosa,3.038861821147154,Short
102,207,2,-75.56805431,6.249944195,-75.57902676,6.288013807,MIDDAY,La Candelaria,Doce de Octubre,4.403451699620779,Short
122,219,1,-75.55684037,6.301363552,-75.54169987,6.28667093,MIDDAY,Santa Cruz,Popular,2.3386720991431584,Short
124,203,1,-75.5605341,6.265743052,-75.55695878,6.249559085,MIDDAY,Aranjuez,La Candelaria,1.8424560738893752,Short
100,202,2,-75.56670406,6.236365923,-75.57302917,6.237404998,MIDDAY,La Candelaria,La Candelaria,0.7086398700109361,Short
3,210,1,-75.54265996,6.252286773,-75.56138311,6.251153007,MIDDAY,Villa Hermosa,La Candelaria,2.0733745483233563,Short
102,205,1,-75.56805431,6.249944195,-75.57996754,6.284740455,MIDDAY,La Candelaria,Castilla,4.087095566761438,Short
0,207,6,-75.58412766,6.24279024,-75.57902676,6.288013807,OFF_PEAK,El Poblado,Doce de Octubre,5.060139277286977,Medium
114,202,1,-75.60494322,6.281522505,-75.57302917,6.237404998,OFF_PEAK,Robledo,La Candelaria,6.042247990285867,Medium
0,1,23,-75.58412766,6.24279024,-75.54797436,6.2353306,OFF_PEAK,El Poblado,Buenos Aires,4.081429453877567,Short
106,201,1,-75.56336725,6.271897092,-75.56536944,6.243308124,OFF_PEAK,Aranjuez,La Candelaria,3.18664218203955,Short
106,0,13,-75.56336725,6.271897092,-75.58540678,6.242100447,OFF_PEAK,Aranjuez,El Poblado,4.112425380124985,Short
102,212,2,-75.56805431,6.249944195,-75.58046231,6.214663963,OFF_PEAK,La Candelaria,Guayabal,4.155833276969738,Short
124,211,1,-75.5605341,6.265743052,-75.56483069,6.270810191,OFF_PEAK,Aranjuez,Aranjuez,0.7368835932310328,Short
0,2,27,-75.58412766,6.24279024,-75.53051534,6.234577944,PM_PEAK,El Poblado,Villa Hermosa,5.996056323692778,Medium
102,214,1,-75.56805431,6.249944195,-75.54236457,6.299891719,PM_PEAK,La Candelaria,Popular,6.23766247625295,Medium
0,214,7,-75.58412766,6.24279024,-75.54236457,6.299891719,PM_PEAK,El Poblado,Popular,7.850016785756366,Medium
104,0,8,-75.56106575,6.297248105,-75.58540678,6.242100447,PM_PEAK,Castilla,El Poblado,6.696375658143042,Medium
109,0,4,-75.56362706,6.19579747,-75.58540678,6.242100447,PM_PEAK,El Poblado,El Poblado,5.683741801475323,Medium
102,0,477,-75.56805431,6.249944195,-75.58540678,6.242100447,PM_PEAK,La Candelaria,El Poblado,2.1070437727936446,Short
117,0,6,-75.59923705,6.240639265,-75.58540678,6.242100447,PM_PEAK,Laureles-Estadio,El Poblado,1.5373503728658944,Short
102,2,11,-75.56805431,6.249944195,-75.53051534,6.234577944,PM_PEAK,La Candelaria,Villa Hermosa,4.487422186347301,Short
0,205,3,-75.58412766,6.24279024,-75.57996754,6.284740455,PM_PEAK,El Poblado,Castilla,4.687260029446481,Short
103,0,17,-75.6015451,6.238742718,-75.58540678,6.242100447,PM_PEAK,Laureles-Estadio,El Poblado,1.8225195674523038,Short
102,200,29,-75.56805431,6.249944195,-75.56920733,6.256186139,PM_PEAK,La Candelaria,La Candelaria,0.7056765752643311,Short
0,206,9,-75.58412766,6.24279024,-75.5684028,6.27997851,PM_PEAK,El Poblado,Aranjuez,4.485578171034863,Short
116,0,8,-75.58169531,6.246122296,-75.58540678,6.242100447,PM_PEAK,Laureles-Estadio,El Poblado,0.6068770527284872,Short
100,0,22,-75.56670406,6.236365923,-75.58540678,6.242100447,PM_PEAK,La Candelaria,El Poblado,2.1634343511435747,Short
3,219,1,-75.54265996,6.252286773,-75.54169987,6.28667093,PM_PEAK,Villa Hermosa,Popular,3.824816217572596,Short
106,205,1,-75.56336725,6.271897092,-75.57996754,6.284740455,PM_PEAK,Aranjuez,Castilla,2.3250803446177053,Short
102,206,4,-75.56805431,6.249944195,-75.5684028,6.27997851,PM_PEAK,La Candelaria,Aranjuez,3.339885579840648,Short
110,0,10,-75.57359496,6.233134223,-75.58540678,6.242100447,PM_PEAK,La Candelaria,El Poblado,1.6427717497965135,Short
0,3,6,-75.58412766,6.24279024,-75.54146829,6.242984796,PM_PEAK,El Poblado,Villa Hermosa,4.715425419212996,Short
102,203,1,-75.56805431,6.249944195,-75.55695878,6.249559085,PM_PEAK,La Candelaria,La Candelaria,1.2271815004009314,Short
0,212,7,-75.58412766,6.24279024,-75.58046231,6.214663963,PM_PEAK,El Poblado,Guayabal,3.153634161443072,Short
105,0,3,-75.56436259,6.262664373,-75.58540678,6.242100447,PM_PEAK,La Candelaria,El Poblado,3.261785699659781,Short
112,0,10,-75.58538587,6.241227419,-75.58540678,6.242100447,PM_PEAK,Laureles-Estadio,El Poblado,0.09710379559515503,Short
105,2,1,-75.56436259,6.262664373,-75.53051534,6.234577944,PM_PEAK,La Candelaria,Villa Hermosa,4.87347421502017,Short
102,211,2,-75.56805431,6.249944195,-75.56483069,6.270810191,PM_PEAK,La Candelaria,Aranjuez,2.347392967114695,Short
102,218,1,-75.56805431,6.249944195,-75.56387998,6.255296899,PM_PEAK,La Candelaria,La Candelaria,0.7530924394360513,Short
110,202,1,-75.57359496,6.233134223,-75.57302917,6.237404998,PM_PEAK,La Candelaria,La Candelaria,0.47898898907179,Short
102,1,4,-75.56805431,6.249944195,-75.54797436,6.2353306,PM_PEAK,La Candelaria,Buenos Aires,2.750797034575368,Short
2,2,1,-75.54164954,6.23269857,-75.53051534,6.234577944,PM_PEAK,Buenos Aires,Villa Hermosa,1.2483620814568828,Short
102,217,3,-75.56805431,6.249944195,-75.56794375,6.274627529,PM_PEAK,La Candelaria,Aranjuez,2.7446887183420046,Short
3,208,1,-75.54265996,6.252286773,-75.56472196,6.23804716,PM_PEAK,Villa Hermosa,La Candelaria,2.9075688587326836,Short
102,215,1,-75.56805431,6.249944195,-75.60998484,6.24285198,PM_PEAK,La Candelaria,La America,4.7013958673543925,Short
