Ciudad_Municipio;ESTRATO;Municipio_Origen;Municipio_Destino;Motivo_Viaje
Bogotá;2;Bogotá;Bogotá;A trabajar
Bogotá;2;Bogotá;Bogotá;A regresar al hogar
Bogotá;1;Bogotá;Bogotá;A acompañar a alguien sin remuneración
Bogotá;1;Bogotá;Bogotá;A regresar al hogar
Bogotá;1;Bogotá;Bogotá;A trabajar
Bogotá;3;Bogotá;Bogotá;A trabajar
Bogotá;3;Bogotá;Bogotá;A regresar al hogar
Soacha;No aplica;Soacha;Bogotá;A asuntos médicos personales
Soacha;No aplica;Bogotá;Soacha;A regresar al hogar
Soacha;No aplica;Soacha;Bogotá;A trabajar
Soacha;No aplica;Soacha;Bogotá;A Estudiar
Bogotá;3;Bogotá;Bogotá;A acompañar a alguien sin remuneración
Bogotá;3;Bogotá;Bogotá;A Estudiar
Bogotá;1;Bogotá;Bogotá;A realizar algún trámite personal
Bogotá;1;Bogotá;Bogotá;A realizar compras
Bogotá;1;Bogotá;Bogotá;A Estudiar
Bogotá;3;Bogotá;Bogotá;A llevar y/o dejar algo
Bogotá;2;Bogotá;Bogotá;A realizar algún trámite personal
Bogotá;2;Bogotá;Bogotá;Conduzco vehículo como forma de trabajo
Bogotá;2;Bogotá;Bogotá;A Estudiar
Bogotá;2;Bogotá;Bogotá;A acompañar a alguien sin remuneración
Bogotá;3;Bogotá;Bogotá;A realizar algún trámite personal
Soacha;No aplica;Soacha;Bogotá;A realizar algún trámite personal
Soacha;No aplica;Soacha;Bogotá;A acompañar a alguien sin remuneración
Bogotá;4;Bogotá;Bogotá;A trabajar
Bogotá;4;Bogotá;Bogotá;A regresar al hogar
Bogotá;1;Bogotá;Bogotá;A asuntos médicos personales
Bogotá;3;Bogotá;Bogotá;A visitar a alguien
Bogotá;4;Bogotá;Chía;A trabajar
Bogotá;4;Chía;Bogotá;A regresar al hogar
Bogotá;2;Bogotá;Bogotá;A realizar actividades físicas y/o deportivas
Cota;No aplica;Cota;Cota;A trabajar
Cota;No aplica;Cota;Cota;A regresar al hogar
Bogotá;2;Bogotá;Sopó;A trabajar
Bogotá;2;Sopó;Bogotá;A regresar al hogar
Bogotá;1;Bogotá;Funza;A trabajar
Bogotá;2;Bogotá;Bogotá;A llevar y/o dejar algo
Bogotá;2;Bogotá;Bogotá;A realizar compras
Bogotá;3;Soacha;Bogotá;A regresar al hogar
Bogotá;1;Bogotá;Bogotá;A visitar a alguien
Funza;No aplica;Funza;Mosquera;A trabajar
Funza;No aplica;Mosquera;Funza;A regresar al hogar
Bogotá;2;Bogotá;Sibaté;A trabajar
Bogotá;2;Sibaté;Bogotá;A regresar al hogar
Bogotá;5;Bogotá;Bogotá;A trabajar
Bogotá;5;Bogotá;Bogotá;A realizar algún trámite personal
Bogotá;4;Bogotá;Bogotá;A realizar algún trámite personal
Bogotá;3;Bogotá;Bogotá;A realizar compras
Bogotá;2;Bogotá;Funza;A trabajar
Bogotá;2;Funza;Bogotá;A regresar al hogar
Bogotá;2;Bogotá;Bogotá;A asuntos médicos personales
Bogotá;3;Bogotá;Funza;A trabajar
Cajicá;No aplica;Cajicá;Cajicá;A acompañar a alguien sin remuneración
Cajicá;No aplica;Cajicá;Cajicá;A regresar al hogar
Cajicá;No aplica;Cajicá;Bogotá;A trabajar
Cajicá;No aplica;Bogotá;Cajicá;A regresar al hogar
Bogotá;4;Bogotá;Bogotá;A Estudiar
Bogotá;3;Bogotá;Bogotá;Conduzco vehículo como forma de trabajo
Bogotá;2;Bogotá;Chía;A trabajar
Bogotá;2;Chía;Bogotá;A regresar al hogar
Bogotá;4;Bogotá;Bogotá;A realizar actividades físicas y/o deportivas
Bogotá;1;Bogotá;Cajicá;A trabajar
Bogotá;1;Cajicá;Bogotá;A regresar al hogar
Bogotá;2;Bogotá;Mosquera;A visitar a alguien
Bogotá;2;Mosquera;Bogotá;A regresar al hogar
Bogotá;3;Bogotá;Cajicá;A trabajar
Bogotá;3;Cajicá;Bogotá;A regresar al hogar
Bogotá;2;Bogotá;Bogotá;A visitar a alguien
Soacha;No aplica;Soacha;Soacha;A trabajar
Soacha;No aplica;Soacha;Soacha;A regresar al hogar
Bogotá;1;Funza;Bogotá;A regresar al hogar
Bogotá;3;Bogotá;Soacha;A trabajar
Soacha;No aplica;Soacha;Funza;A trabajar
Soacha;No aplica;Funza;Soacha;A regresar al hogar
Bogotá;3;Bogotá;Bogotá;A realizar actividades recreativas y culturales
Cota;No aplica;Cota;Bogotá;A trabajar
Cota;No aplica;Bogotá;Cota;A regresar al hogar
Bogotá;1;Bogotá;Zipaquirá;A realizar algún trámite personal
Bogotá;1;Zipaquirá;Bogotá;A regresar al hogar
Bogotá;2;Bogotá;La Calera;A trabajar
Bogotá;2;La Calera;Bogotá;A regresar al hogar
Soacha;No aplica;Soacha;Bogotá;A llevar y/o dejar algo
Bogotá;3;Bogotá;Bogotá;A buscar trabajo
Madrid;No aplica;Madrid;Bogotá;A trabajar
Bogotá;1;Bogotá;Soacha;A Estudiar
Bogotá;1;Soacha;Bogotá;A regresar al hogar
Bogotá;2;Bogotá;Facatativá;A Estudiar
Bogotá;2;Facatativá;Bogotá;A regresar al hogar
Mosquera;No aplica;Mosquera;Mosquera;A regresar al hogar
Bogotá;2;Bogotá;Soacha;A visitar a alguien
Bogotá;2;Soacha;La Mesa;A visitar a alguien
Bogotá;4;Bogotá;Cáqueza;A realizar actividades recreativas y culturales
Bogotá;4;Bogotá;Bogotá;A realizar compras
Bogotá;4;Bogotá;Bogotá;A acompañar a alguien sin remuneración
Bogotá;1;Bogotá;Soacha;A trabajar
Funza;No aplica;Funza;Funza;A trabajar
Funza;No aplica;Funza;Funza;A regresar al hogar
Bogotá;2;Bogotá;Soacha;A realizar algún trámite personal
Bogotá;2;Soacha;Bogotá;A regresar al hogar
Bogotá;2;Bogotá;Soacha;A trabajar
Bogotá;2;Bogotá;Cota;A trabajar
Cajicá;No aplica;Cajicá;Tocancipá;A trabajar
Cajicá;No aplica;Tocancipá;Cajicá;A regresar al hogar
Bogotá;6;Bogotá;Bogotá;A trabajar
Bogotá;6;Bogotá;Bogotá;A regresar al hogar
Soacha;No aplica;Soacha;Soacha;A Estudiar
Cota;No aplica;Cota;Chía;A trabajar
Cota;No aplica;Chía;Cota;A regresar al hogar
Bogotá;2;Bogotá;Tocaima;A trabajar
Bogotá;2;Tocaima;Bogotá;A regresar al hogar
Bogotá;3;Bogotá;Bogotá;A asuntos médicos personales
Sibaté;No aplica;Sibaté;Sibaté;A realizar algún trámite personal
Sibaté;No aplica;Sibaté;Sibaté;A regresar al hogar
Sibaté;No aplica;Sibaté;Sibaté;A llevar y/o dejar algo
Bogotá;2;Bogotá;Tenjo;A trabajar
Bogotá;2;Tenjo;Bogotá;A regresar al hogar
Bogotá;2;Bogotá;Tocancipá;A trabajar
Bogotá;2;Tocancipá;Bogotá;A regresar al hogar
Bogotá;2;Cota;Bogotá;A regresar al hogar
Soacha;No aplica;Bogotá;Bogotá;A trabajar
Soacha;No aplica;Bogotá;Bogotá;A visitar a alguien
Bogotá;2;Bogotá;Bogotá;A realizar actividades recreativas y culturales
Cajicá;No aplica;Cajicá;Sopó;A trabajar
Cajicá;No aplica;Sopó;Cajicá;A regresar al hogar
Bogotá;3;Bogotá;Cota;A trabajar
Bogotá;3;Cota;Bogotá;A regresar al hogar
Bojacá;No aplica;Bojacá;Bojacá;A trabajar
Bogotá;4;Bogotá;Bogotá;A asuntos médicos personales
Bogotá;1;Bogotá;Bogotá;A llevar y/o dejar algo
Soacha;No aplica;Soacha;Soacha;A asuntos médicos personales
Sibaté;No aplica;Sibaté;Sibaté;A trabajar
Bogotá;4;Bogotá;Bogotá;Conduzco vehículo como forma de trabajo
Bogotá;1;Bogotá;Cota;A trabajar
Bogotá;1;Cota;Bogotá;A regresar al hogar
Soacha;No aplica;Soacha;La Calera;A trabajar
Soacha;No aplica;La Calera;Soacha;A regresar al hogar
Funza;No aplica;Funza;Bogotá;A trabajar
Funza;No aplica;Bogotá;Funza;A regresar al hogar
Bogotá;3;Bogotá;Facatativá;A trabajar
Soacha;No aplica;Soacha;Sibaté;A trabajar
Soacha;No aplica;Sibaté;Soacha;A regresar al hogar
Bogotá;1;Bogotá;Bogotá;A realizar actividades físicas y/o deportivas
Bogotá;1;Bogotá;Bogotá;A asistir actividad de tipo religioso y/o culto
Bogotá;3;Bogotá;Tocaima;A trabajar
Bogotá;3;Tocaima;Tocaima;A trabajar
Bogotá;3;Bogotá;Funza;A realizar algún trámite personal
Bogotá;3;Funza;Bogotá;A regresar al hogar
Soacha;No aplica;Soacha;Tocancipá;A trabajar
Soacha;No aplica;Tocancipá;Soacha;A regresar al hogar
Soacha;No aplica;Soacha;Soacha;A acompañar a alguien sin remuneración
Mosquera;No aplica;Mosquera;Funza;A trabajar
Mosquera;No aplica;Mosquera;Mosquera;A trabajar
Soacha;No aplica;Soacha;Cota;A trabajar
Soacha;No aplica;Cota;Soacha;A regresar al hogar
Soacha;No aplica;Soacha;Chía;A trabajar
Soacha;No aplica;Chía;Soacha;A regresar al hogar
Bogotá;4;Bogotá;Bogotá;A llevar y/o dejar algo
Soacha;No aplica;Soacha;Soacha;A llevar y/o dejar algo
Soacha;No aplica;Soacha;Soacha;A realizar compras
Bogotá;2;Bogotá;Cajicá;A trabajar
Bogotá;2;Cajicá;Bogotá;A regresar al hogar
Cajicá;No aplica;Cajicá;Cajicá;A trabajar
Cajicá;No aplica;Cajicá;Bogotá;A llevar y/o dejar algo
Bogotá;3;Bogotá;La Calera;A trabajar
Bogotá;3;La Calera;Bogotá;A regresar al hogar
Sibaté;No aplica;Sibaté;Funza;A trabajar
Bogotá;2;Bogotá;Soacha;A realizar compras
Bogotá;1;Bogotá;Choachí;A trabajar
Bogotá;1;Choachí;Bogotá;A regresar al hogar
Madrid;No aplica;Madrid;Funza;A trabajar
Bogotá;2;Bogotá;Bogotá;A buscar trabajo
Bogotá;2;Bogotá;Mosquera;A trabajar
Funza;No aplica;Funza;Funza;A acompañar a alguien sin remuneración
Funza;No aplica;Funza;Funza;A realizar compras
Funza;No aplica;Funza;Bogotá;A acompañar a alguien sin remuneración
Funza;No aplica;Bogotá;Bogotá;A trabajar
Funza;No aplica;Bogotá;Bogotá;A Estudiar
Funza;No aplica;Bogotá;Funza;A realizar compras
Funza;No aplica;Funza;Funza;A Estudiar
Soacha;No aplica;Soacha;Bogotá;A realizar compras
Bogotá;3;Bogotá;Chía;A trabajar
Bogotá;3;Chía;Bogotá;A regresar al hogar
Bogotá;3;Bogotá;Bogotá;A acompañar a alguien con remuneración
Bogotá;3;Chía;Bogotá;A trabajar
Bogotá;1;Bogotá;Madrid;A trabajar
Bogotá;1;Bogotá;Bogotá;A realizar actividades recreativas y culturales
Bogotá;3;Bogotá;Sopó;A trabajar
Bogotá;3;Sopó;Bogotá;A regresar al hogar
Bogotá;3;Bogotá;Mosquera;A trabajar
Bogotá;3;Mosquera;Bogotá;A regresar al hogar
Bogotá;4;Bogotá;Cota;A trabajar
Soacha;No aplica;Soacha;Tocaima;A trabajar
Soacha;No aplica;Tocaima;Soacha;A regresar al hogar
Bogotá;1;Bogotá;Bogotá;A buscar trabajo
Madrid;No aplica;Madrid;Mosquera;A trabajar
Sibaté;No aplica;Sibaté;Bogotá;A trabajar
Sibaté;No aplica;Bogotá;Sibaté;A regresar al hogar
Bogotá;4;Bogotá;Bogotá;A visitar a alguien
Bogotá;2;Bogotá;Bogotá;A acompañar a alguien con remuneración
Sibaté;No aplica;Sibaté;Fusagasugá;A trabajar
Sibaté;No aplica;Fusagasugá;Sibaté;A regresar al hogar
Bogotá;5;Bogotá;Bogotá;A Estudiar
Bogotá;5;Bogotá;Bogotá;A regresar al hogar
Mosquera;No aplica;Mosquera;Bogotá;A acompañar a alguien sin remuneración
Mosquera;No aplica;Bogotá;Mosquera;A regresar al hogar
El Rosal;No aplica;El Rosal;Cota;A trabajar
El Rosal;No aplica;Cota;El Rosal;A regresar al hogar
Zipaquirá;No aplica;Zipaquirá;Zipaquirá;A realizar compras
Zipaquirá;No aplica;Zipaquirá;Zipaquirá;A regresar al hogar
Bogotá;2;Bogotá;Guasca;A realizar compras
Bogotá;2;Guasca;Bogotá;A regresar al hogar
Chía;No aplica;Chía;Tabio;A trabajar
Chía;No aplica;Tabio;Chía;A regresar al hogar
Chía;No aplica;Chía;Tocancipá;A trabajar
Chía;No aplica;Tocancipá;Chía;A regresar al hogar
Chía;No aplica;Chía;Bogotá;A trabajar
Chía;No aplica;Bogotá;Chía;A regresar al hogar
El Rosal;No aplica;El Rosal;Funza;A trabajar
El Rosal;No aplica;Funza;El Rosal;A regresar al hogar
El Rosal;No aplica;El Rosal;Facatativá;A acompañar a alguien sin remuneración
El Rosal;No aplica;Facatativá;El Rosal;A regresar al hogar
El Rosal;No aplica;El Rosal;Bogotá;A realizar algún trámite personal
El Rosal;No aplica;Bogotá;El Rosal;A regresar al hogar
El Rosal;No aplica;El Rosal;Facatativá;A realizar algún trámite personal
El Rosal;No aplica;El Rosal;Cota;A Estudiar
Zipaquirá;No aplica;Zipaquirá;Zipaquirá;A realizar actividades físicas y/o deportivas
Cota;No aplica;Cota;Bogotá;A Estudiar
Subachoque;No aplica;Subachoque;Cota;A trabajar
Subachoque;No aplica;Cota;Subachoque;A regresar al hogar
Mosquera;No aplica;Mosquera;Bogotá;A trabajar
Subachoque;No aplica;Subachoque;Tenjo;A trabajar
Subachoque;No aplica;Tenjo;Subachoque;A regresar al hogar
Subachoque;No aplica;Subachoque;Funza;A trabajar
Subachoque;No aplica;Funza;Subachoque;A regresar al hogar
Bojacá;No aplica;Bojacá;Facatativá;A realizar actividades físicas y/o deportivas
Choachí;No aplica;Choachí;Choachí;A realizar compras
Choachí;No aplica;Choachí;Choachí;A regresar al hogar
Choachí;No aplica;Choachí;Bogotá;A trabajar
Choachí;No aplica;Bogotá;Choachí;A regresar al hogar
Choachí;No aplica;Choachí;Fómeque;A trabajar
Choachí;No aplica;Fómeque;Choachí;A regresar al hogar
Subachoque;No aplica;Subachoque;Subachoque;A trabajar
Subachoque;No aplica;Subachoque;Subachoque;A regresar al hogar
Chía;No aplica;Chía;Chía;A trabajar
Chía;No aplica;Chía;Chía;A regresar al hogar
Cota;No aplica;Cota;Bogotá;A realizar algún trámite personal
El Rosal;No aplica;El Rosal;El Rosal;A trabajar
El Rosal;No aplica;El Rosal;El Rosal;A regresar al hogar
Bogotá;4;Bogotá;Chocontá;A trabajar
Bogotá;4;Chocontá;Bogotá;A regresar al hogar
Bojacá;No aplica;Bojacá;Bojacá;A regresar al hogar
Zipaquirá;No aplica;Zipaquirá;Sopó;A trabajar
Choachí;No aplica;Choachí;Choachí;A trabajar
Choachí;No aplica;Choachí;Fómeque;A acompañar a alguien sin remuneración
Bogotá;2;Bogotá;Madrid;A trabajar
Bogotá;2;Madrid;Bogotá;A regresar al hogar
Chía;No aplica;Chía;Zipaquirá;A trabajar
Chía;No aplica;Zipaquirá;Chía;A regresar al hogar
La Calera;No aplica;La Calera;La Calera;A regresar al hogar
Bogotá;2;Bogotá;Soacha;A asuntos médicos personales
Tenjo;No aplica;Tenjo;Tenjo;A trabajar
Tenjo;No aplica;Tenjo;Tenjo;A regresar al hogar
La Calera;No aplica;La Calera;Bogotá;A acompañar a alguien sin remuneración
La Calera;No aplica;Bogotá;La Calera;A regresar al hogar
Funza;No aplica;Funza;Bogotá;A Estudiar
La Calera;No aplica;La Calera;La Calera;A trabajar
Cota;No aplica;Cota;Tenjo;A trabajar
Cota;No aplica;Tenjo;Cota;A regresar al hogar
Cota;No aplica;Cota;Bogotá;A realizar compras
Soacha;No aplica;Soacha;Soacha;A realizar algún trámite personal
Bojacá;No aplica;Bojacá;Bogotá;A trabajar
Bojacá;No aplica;Bojacá;Chía;A trabajar
El Rosal;No aplica;El Rosal;El Rosal;A realizar compras
Bogotá;5;Bogotá;Bogotá;A llevar y/o dejar algo
Bojacá;No aplica;Bojacá;Madrid;A trabajar
Bojacá;No aplica;Madrid;Bojacá;A regresar al hogar
Soacha;No aplica;Soacha;Cota;A visitar a alguien
Bogotá;5;Bogotá;Chía;A trabajar
Bogotá;5;Chía;Bogotá;A regresar al hogar
Choachí;No aplica;Choachí;Sopó;A trabajar
Choachí;No aplica;Sopó;Choachí;A regresar al hogar
Choachí;No aplica;Choachí;Choachí;A Estudiar
El Rosal;No aplica;Facatativá;Facatativá;A realizar compras
El Rosal;No aplica;El Rosal;Bogotá;A trabajar
Bogotá;4;Bogotá;Tenjo;A trabajar
Bogotá;4;Tenjo;Bogotá;A regresar al hogar
Chía;No aplica;Bogotá;Bogotá;A trabajar
Chía;No aplica;Chía;Chía;A Estudiar
El Rosal;No aplica;El Rosal;Facatativá;A asuntos médicos personales
Sopó;No aplica;Sopó;Bogotá;A trabajar
Sopó;No aplica;Bogotá;Sopó;A regresar al hogar
Sopó;No aplica;Sopó;Tocancipá;A trabajar
Sopó;No aplica;Tocancipá;Sopó;A regresar al hogar
Sopó;No aplica;Sopó;Sopó;A regresar al hogar
Tenjo;No aplica;Tenjo;Bogotá;A Estudiar
Tenjo;No aplica;Bogotá;Tenjo;A regresar al hogar
La Calera;No aplica;La Calera;La Calera;A acompañar a alguien sin remuneración
La Calera;No aplica;La Calera;Bogotá;A Estudiar
La Calera;No aplica;La Calera;Bogotá;A trabajar
Mosquera;No aplica;Mosquera;Bogotá;A realizar algún trámite personal
Bogotá;4;Cota;Bogotá;A regresar al hogar
Sopó;No aplica;Sopó;Sopó;A trabajar
Mosquera;No aplica;Mosquera;Mosquera;A realizar compras
Tabio;No aplica;Tabio;Tenjo;A trabajar
Tabio;No aplica;Tenjo;Tabio;A regresar al hogar
Subachoque;No aplica;Subachoque;Bogotá;A asuntos médicos personales
Subachoque;No aplica;Bogotá;Subachoque;A regresar al hogar
Subachoque;No aplica;Bogotá;Bogotá;A asuntos médicos personales
Tabio;No aplica;Tabio;Bogotá;A trabajar
Tabio;No aplica;Bogotá;Tabio;A regresar al hogar
Chía;No aplica;Chía;Ubaté;A trabajar
Chía;No aplica;Ubaté;Chía;A regresar al hogar
Tocancipá;No aplica;Tocancipá;Tocancipá;A realizar algún trámite personal
Tocancipá;No aplica;Tocancipá;Tocancipá;A regresar al hogar
Gachancipá;No aplica;Gachancipá;Gachancipá;A trabajar
Gachancipá;No aplica;Gachancipá;Gachancipá;A regresar al hogar
Gachancipá;No aplica;Gachancipá;Tocancipá;A trabajar
Gachancipá;No aplica;Tocancipá;Gachancipá;A regresar al hogar
Tabio;No aplica;Tabio;Cajicá;A realizar algún trámite personal
Tabio;No aplica;Cajicá;Tabio;A regresar al hogar
Cajicá;No aplica;Cajicá;Chía;A trabajar
Cajicá;No aplica;Chía;Cajicá;A regresar al hogar
Tabio;No aplica;Tabio;Tabio;A trabajar
Tabio;No aplica;Tabio;Tabio;A regresar al hogar
Tabio;No aplica;Tabio;Tenjo;A visitar a alguien
Cajicá;No aplica;Cajicá;Cota;A trabajar
Cajicá;No aplica;Cajicá;Zipaquirá;A trabajar
Cota;No aplica;Cota;La Calera;A trabajar
Cota;No aplica;La Calera;Cota;A regresar al hogar
Cota;No aplica;Cota;Chía;A Estudiar
Gachancipá;No aplica;Gachancipá;Cajicá;A trabajar
Gachancipá;No aplica;Cajicá;Gachancipá;A regresar al hogar
Gachancipá;No aplica;Gachancipá;Bogotá;A trabajar
Gachancipá;No aplica;Bogotá;Gachancipá;A regresar al hogar
Gachancipá;No aplica;Gachancipá;Tocancipá;A realizar actividades recreativas y culturales
Cota;No aplica;Cota;Mosquera;A trabajar
Cota;No aplica;Mosquera;Cota;A regresar al hogar
Cota;No aplica;Cota;Funza;A trabajar
Cota;No aplica;Funza;Cota;A regresar al hogar
Cajicá;No aplica;Cajicá;Bogotá;A Estudiar
Gachancipá;No aplica;Gachancipá;Sopó;A trabajar
Gachancipá;No aplica;Sopó;Gachancipá;A regresar al hogar
Cota;No aplica;Cota;Cota;A Estudiar
Mosquera;No aplica;Mosquera;Cáqueza;A trabajar
Cota;No aplica;Cota;Cota;A acompañar a alguien con remuneración
Cota;No aplica;Cota;Cajicá;A trabajar
Cota;No aplica;Cajicá;Cota;A regresar al hogar
Soacha;No aplica;Soacha;Fusagasugá;A Estudiar
Soacha;No aplica;Fusagasugá;Soacha;A regresar al hogar
Subachoque;No aplica;Subachoque;Bogotá;A trabajar
Cota;No aplica;Bogotá;Bogotá;A trabajar
Cota;No aplica;Cota;Cota;A realizar actividades recreativas y culturales
Bogotá;2;Bogotá;La Calera;A realizar algún trámite personal
Cajicá;No aplica;Cajicá;Funza;A trabajar
Madrid;No aplica;Madrid;Cota;A trabajar
Madrid;No aplica;Cota;Madrid;A regresar al hogar
Madrid;No aplica;Bogotá;Madrid;A regresar al hogar
Madrid;No aplica;Mosquera;Madrid;A regresar al hogar
Cota;No aplica;Cota;Cota;A realizar algún trámite personal
Bogotá;6;Bogotá;Bogotá;A Estudiar
Bogotá;6;Bogotá;Chía;A Estudiar
Bogotá;6;Chía;Bogotá;A regresar al hogar
Bogotá;3;Bogotá;Bogotá;A asistir actividad de tipo religioso y/o culto
Zipaquirá;No aplica;Zipaquirá;Bogotá;A trabajar
Zipaquirá;No aplica;Bogotá;Zipaquirá;A regresar al hogar
Tocancipá;No aplica;Tocancipá;Tocancipá;A trabajar
Cota;No aplica;Cota;Cota;A acompañar a alguien sin remuneración
Madrid;No aplica;Madrid;Madrid;A trabajar
Madrid;No aplica;Madrid;Madrid;A regresar al hogar
Tenjo;No aplica;Tenjo;Bogotá;A trabajar
Tenjo;No aplica;Tenjo;Tabio;A trabajar
Mosquera;No aplica;Mosquera;Madrid;A realizar algún trámite personal
Mosquera;No aplica;Mosquera;Funza;A realizar compras
Gachancipá;No aplica;Gachancipá;Tocancipá;A buscar trabajo
Bojacá;No aplica;Zipacón;Bojacá;A regresar al hogar
Zipaquirá;No aplica;Zipaquirá;Zipaquirá;A acompañar a alguien sin remuneración
Zipaquirá;No aplica;Zipaquirá;Zipaquirá;A Estudiar
Subachoque;No aplica;Subachoque;Facatativá;A realizar algún trámite personal
Subachoque;No aplica;Facatativá;Subachoque;A regresar al hogar
Gachancipá;No aplica;Gachancipá;Bogotá;A Estudiar
Sopó;No aplica;Gachancipá;Sopó;A regresar al hogar
Bojacá;No aplica;Bojacá;Madrid;A realizar compras
Bojacá;No aplica;Bojacá;Mosquera;A trabajar
Bojacá;No aplica;Mosquera;Bojacá;A regresar al hogar
Bojacá;No aplica;Bojacá;Facatativá;A realizar algún trámite personal
Bojacá;No aplica;Facatativá;Bojacá;A regresar al hogar
Chía;No aplica;Chía;Bogotá;A visitar a alguien
Mosquera;No aplica;Mosquera;Madrid;A trabajar
Mosquera;No aplica;Madrid;Mosquera;A regresar al hogar
Tenjo;No aplica;Tenjo;Chía;A trabajar
Tenjo;No aplica;Chía;Tenjo;A regresar al hogar
Tenjo;No aplica;Tenjo;Mosquera;A trabajar
Tenjo;No aplica;Mosquera;Tenjo;A regresar al hogar
Bojacá;No aplica;Bojacá;Facatativá;A trabajar
Tenjo;No aplica;Tenjo;Bogotá;A visitar a alguien
Gachancipá;No aplica;Gachancipá;Tocancipá;A realizar algún trámite personal
Mosquera;No aplica;Mosquera;Bogotá;A realizar compras
El Rosal;No aplica;El Rosal;Subachoque;A trabajar
El Rosal;No aplica;Subachoque;El Rosal;A regresar al hogar
Tenjo;No aplica;Tenjo;Funza;A trabajar
Tenjo;No aplica;Funza;Tenjo;A regresar al hogar
Zipaquirá;No aplica;Zipaquirá;Pacho;A trabajar
Zipaquirá;No aplica;Pacho;Zipaquirá;A regresar al hogar
Sopó;No aplica;Sopó;Suesca;A realizar algún trámite personal
Sopó;No aplica;Suesca;Sopó;A regresar al hogar
Sopó;No aplica;Sopó;Suesca;A trabajar
Sopó;No aplica;Sopó;Sopó;A realizar compras
Sopó;No aplica;Sopó;Sopó;A acompañar a alguien sin remuneración
Sopó;No aplica;Sopó;Sopó;A realizar algún trámite personal
