Ciudad_Municipio;ESTRATO;Municipio_Origen;Municipio_Destino;Motivo_Viaje
Bello;2;Bello;Copacabana;Diligencia o tr√°mite
Bello;2;Bello;Copacabana;Recoger o dejar a alguien
Bello;2;Bello;Copacabana;Recreaci√≥n
Bello;2;Bello;Medellin;Otro
Copacabana;2;Copacabana;Girardota;Al Trabajo
Bello;2;Bello;Bello;Otro
Bello;3;Bello;Sabaneta;Al Trabajo
Bello;2;Bello;Copacabana;Estudio
Bello;2;Bello;Copacabana;Compras
Medellin;3;Medellin;Bello;Diligencia o tr√°mite
Bello;3;Bello;El Retiro;Al Trabajo
El Retiro;3;El Retiro;Bello;Regreso a casa
Envigado;3;Envigado;Bello;Estudio
Bello;3;Bello;Sabaneta;Diligencia o tr√°mite
Bello;3;Bello;Itagui;Compras
Bello;2;Bello;Medellin;Salud
Bello;2;Bello;Girardota;Diligencia o tr√°mite
Bello;2;Bello;Girardota;Acompa√±ar a alguien
Medellin;2;Medellin;Bello;Recreaci√≥n
Envigado;3;Envigado;Medellin;Diligencia o tr√°mite
Envigado;4;Envigado;Envigado;Diligencia o tr√°mite
Bello;3;Bello;Bello;Acompa√±ar a alguien
Envigado;3;Envigado;Envigado;Recreaci√≥n
La Estrella;3;La Estrella;Medellin;Al Trabajo
Medellin;3;Medellin;La Estrella;Regreso a casa
La Estrella;4;La Estrella;Medellin;Estudio
Medellin;4;Medellin;La Estrella;Regreso a casa
La Estrella;5;La Estrella;Envigado;Al Trabajo
Envigado;5;Envigado;La Estrella;Regreso a casa
Itagui;3;Itagui;Envigado;Estudio
Envigado;2;Envigado;La Estrella;Estudio
La Estrella;2;La Estrella;Envigado;Regreso a casa
Bello;3;Bello;Municipios Norte;Al Trabajo
Municipios Norte;3;Municipios Norte;Bello;Regreso a casa
Envigado;4;Envigado;Guatape Pe√±ol;Recreaci√≥n
Guatape Pe√±ol;4;Guatape Pe√±ol;Envigado;Regreso a casa
Envigado;4;Envigado;Itagui;Recreaci√≥n
Itagui;4;Itagui;Envigado;Regreso a casa
Medellin;2;Medellin;Guarne;Al Trabajo
Guarne;2;Guarne;Bello;Regreso a casa
La Estrella;2;La Estrella;Medellin;Al Trabajo
Medellin;2;Medellin;La Estrella;Regreso a casa
Bello;3;Bello;La Estrella;Al Trabajo
La Estrella;3;La Estrella;Bello;Regreso a casa
La Estrella;2;La Estrella;Itagui;Al Trabajo
Itagui;2;Itagui;La Estrella;Regreso a casa
La Estrella;2;La Estrella;Sabaneta;Salud
Sabaneta;2;Sabaneta;La Estrella;Regreso a casa
Bello;2;Bello;Valdivia;Al Trabajo
Bello;3;Bello;Bello;Salud
Medellin;2;Medellin;Girardota;Diligencia o tr√°mite
Bello;2;Bello;Barbosa;Estudio
Envigado;4;Envigado;Medellin;Diligencia o tr√°mite
Bello;2;Bello;Medellin;Recoger o dejar a alguien
Envigado;2;Envigado;La Estrella;Al Trabajo
Envigado;4;Envigado;Envigado;Recoger o dejar a alguien
Envigado;4;Envigado;Envigado;Compras
Bello;1;Bello;Rionegro;Otro
Copacabana;2;Copacabana;Medellin;Al Trabajo
Medellin;2;Medellin;Copacabana;Regreso a casa
Bello;2;Bello;Bello;Recoger o dejar a alguien
Medellin;2;Medellin;Sabaneta;Otro
Bello;1;Bello;Barbosa;Al Trabajo
Barbosa;1;Barbosa;Bello;Regreso a casa
Bello;2;Bello;G√≥mez Plata;Al Trabajo
La Estrella;1;La Estrella;Medellin;Estudio
Medellin;1;Medellin;La Estrella;Regreso a casa
Bello;2;Bello;La Uni√≥n;Recreaci√≥n
La Uni√≥n;2;La Uni√≥n;Bello;Regreso a casa
La Estrella;3;La Estrella;Sabaneta;Al Trabajo
Sabaneta;3;Sabaneta;La Estrella;Regreso a casa
Sabaneta;3;Sabaneta;Sabaneta;Regreso a casa
Copacabana;2;Copacabana;Copacabana;Recreaci√≥n
Copacabana;2;Copacabana;Copacabana;Regreso a casa
Bello;2;Bello;Copacabana;Regreso a casa
Copacabana;2;Copacabana;Copacabana;Al Trabajo
Bello;2;Bello;Meta;Al Trabajo
Copacabana;2;Copacabana;Envigado;Al Trabajo
Envigado;2;Envigado;Copacabana;Regreso a casa
Copacabana;2;Copacabana;Medellin;Diligencia o tr√°mite
Copacabana;2;Copacabana;Barbosa;Estudio
Barbosa;2;Barbosa;Copacabana;Regreso a casa
Copacabana;2;Copacabana;Copacabana;Recoger o dejar a alguien
Copacabana;2;Copacabana;Copacabana;Estudio
Copacabana;3;Copacabana;Medellin;Al Trabajo
Medellin;3;Medellin;Copacabana;Regreso a casa
Copacabana;3;Copacabana;Copacabana;Recreaci√≥n
Copacabana;3;Copacabana;Copacabana;Regreso a casa
Copacabana;3;Copacabana;Medellin;Estudio
Caldas;2;Caldas;Copacabana;Al Trabajo
Copacabana;2;Copacabana;Caldas;Regreso a casa
Copacabana;2;Copacabana;El Retiro;Diligencia o tr√°mite
El Retiro;2;El Retiro;Copacabana;Regreso a casa
Copacabana;2;Copacabana;Municipios Norte;Al Trabajo
Municipios Norte;2;Municipios Norte;Copacabana;Regreso a casa
Girardota;2;Girardota;Bello;Al Trabajo
Bello;2;Bello;Girardota;Regreso a casa
Medellin;2;Medellin;Bello;Salud
Barbosa;2;Barbosa;Barbosa;Al Trabajo
Barbosa;2;Barbosa;Barbosa;Almuerzo
Barbosa;2;Barbosa;Barbosa;Regreso a casa
Barbosa;2;Barbosa;Barbosa;Diligencia o tr√°mite
Barbosa;2;Barbosa;Itagui;Al Trabajo
Itagui;2;Itagui;Barbosa;Regreso a casa
Copacabana;2;Copacabana;Medellin;Estudio
Girardota;2;Girardota;Girardota;Al Trabajo
Girardota;2;Girardota;Girardota;Regreso a casa
Girardota;2;Girardota;Girardota;Diligencia o tr√°mite
Girardota;2;Girardota;Medellin;Al Trabajo
Medellin;2;Medellin;Girardota;Regreso a casa
Medellin;2;Medellin;Municipios Occidente;Al Trabajo
Municipios Occidente;2;Municipios Occidente;Medellin;Regreso a casa
La Estrella;2;La Estrella;La Estrella;Recoger o dejar a alguien
La Estrella;2;La Estrella;La Estrella;Almuerzo
La Estrella;2;La Estrella;La Estrella;Estudio
Girardota;2;Girardota;Rionegro;Al Trabajo
Rionegro;2;Rionegro;Girardota;Regreso a casa
Girardota;2;Girardota;Barbosa;Al Trabajo
Barbosa;2;Barbosa;Girardota;Regreso a casa
Barbosa;2;Barbosa;Medellin;Estudio
Medellin;2;Medellin;Barbosa;Regreso a casa
Bello;2;Bello;Barbosa;Regreso a casa
Barbosa;2;Barbosa;Caldas;Al Trabajo
Caldas;2;Caldas;Barbosa;Regreso a casa
Barbosa;2;Barbosa;Girardota;Al Trabajo
Girardota;2;Girardota;Barbosa;Regreso a casa
Itagui;4;Itagui;Medellin;Al Trabajo
Medellin;4;Medellin;Itagui;Regreso a casa
Itagui;4;Itagui;Itagui;Diligencia o tr√°mite
Itagui;4;Itagui;Itagui;Regreso a casa
Barbosa;2;Barbosa;Medellin;Al Trabajo
Barbosa;2;Barbosa;Barbosa;Recreaci√≥n
La Estrella;2;La Estrella;Itagui;Diligencia o tr√°mite
Medellin;4;Medellin;Medellin;Otro
Medellin;4;Medellin;Medellin;Regreso a casa
Envigado;3;Envigado;Bello;Al Trabajo
Sabaneta;2;Sabaneta;Envigado;Al Trabajo
Envigado;2;Envigado;Sabaneta;Regreso a casa
La Estrella;1;La Estrella;Itagui;Al Trabajo
Itagui;1;Itagui;La Estrella;Regreso a casa
La Estrella;3;La Estrella;La Estrella;Estudio
La Estrella;3;La Estrella;La Estrella;Regreso a casa
La Estrella;2;La Estrella;La Estrella;Otro
Caldas;2;Caldas;Caldas;Al Trabajo
Caldas;2;Caldas;Caldas;Regreso a casa
Caldas;2;Caldas;Caldas;Acompa√±ar a alguien
Caldas;2;Caldas;Caldas;Otro
Caldas;2;Caldas;Caldas;Salud
Caldas;2;Caldas;La Estrella;Al Trabajo
La Estrella;2;La Estrella;Caldas;Regreso a casa
Caldas;2;Caldas;Itagui;Al Trabajo
Itagui;2;Itagui;Caldas;Regreso a casa
Caldas;2;Caldas;Medellin;Al Trabajo
Medellin;2;Medellin;Caldas;Regreso a casa
Girardota;2;Girardota;Copacabana;Regreso a casa
Caldas;2;Caldas;Sabaneta;Al Trabajo
Sabaneta;2;Sabaneta;Caldas;Regreso a casa
Caldas;3;Caldas;Medellin;Al Trabajo
Medellin;3;Medellin;Caldas;Regreso a casa
Caldas;3;Caldas;Caldas;Al Trabajo
Caldas;3;Caldas;Caldas;Recoger o dejar a alguien
Caldas;3;Caldas;Medellin;Estudio
Copacabana;3;Copacabana;Medellin;Salud
Copacabana;2;Copacabana;Itagui;Al Trabajo
Itagui;2;Itagui;Copacabana;Regreso a casa
Copacabana;3;Copacabana;Copacabana;Diligencia o tr√°mite
Copacabana;3;Copacabana;Copacabana;Estudio
Copacabana;3;Copacabana;Guarne;Al Trabajo
Guarne;3;Guarne;Copacabana;Regreso a casa
Copacabana;3;Copacabana;Bello;Al Trabajo
Bello;3;Bello;Copacabana;Regreso a casa
Copacabana;2;Copacabana;Bello;Salud
Copacabana;3;Copacabana;San Roque;Al Trabajo
San Roque;3;San Roque;Copacabana;Regreso a casa
Copacabana;3;Copacabana;Bello;Estudio
Copacabana;2;Copacabana;Medellin;Compras
Copacabana;2;Copacabana;Bello;Al Trabajo
Copacabana;2;Copacabana;Rionegro;Al Trabajo
Rionegro;2;Rionegro;Copacabana;Regreso a casa
Copacabana;2;Copacabana;Copacabana;Diligencia o tr√°mite
Copacabana;3;Copacabana;Copacabana;Al Trabajo
Copacabana;3;Copacabana;Girardota;Al Trabajo
Girardota;3;Girardota;Copacabana;Regreso a casa
Copacabana;2;Copacabana;Itagui;Estudio
Copacabana;2;Copacabana;Bello;Estudio
Girardota;2;Girardota;Bello;Estudio
Girardota;2;Girardota;Municipios Occidente;Al Trabajo
Municipios Occidente;2;Municipios Occidente;Girardota;Regreso a casa
Girardota;2;Girardota;Medellin;Estudio
Barbosa;1;Barbosa;Barbosa;Al Trabajo
Barbosa;1;Barbosa;Barbosa;Regreso a casa
Barbosa;1;Barbosa;Caldas;Al Trabajo
Caldas;1;Caldas;Barbosa;Regreso a casa
Barbosa;1;Barbosa;Medellin;Estudio
Medellin;1;Medellin;Barbosa;Regreso a casa
Copacabana;2;Copacabana;Medellin;Recoger o dejar a alguien
Girardota;2;Girardota;Bello;Diligencia o tr√°mite
Girardota;2;Girardota;Girardota;Compras
Girardota;2;Girardota;Copacabana;Al Trabajo
Copacabana;2;Copacabana;Girardota;Regreso a casa
Girardota;2;Girardota;Copacabana;Estudio
Barbosa;2;Barbosa;Medellin;Salud
Barbosa;2;Barbosa;Medellin;Acompa√±ar a alguien
Barbosa;2;Barbosa;Bello;Al Trabajo
Barbosa;2;Barbosa;Bello;Diligencia o tr√°mite
Barbosa;1;Barbosa;Copacabana;Estudio
Copacabana;1;Copacabana;Barbosa;Regreso a casa
La Estrella;2;La Estrella;Envigado;Al Trabajo
Envigado;2;Envigado;La Estrella;Regreso a casa
Barbosa;2;Barbosa;Copacabana;Al Trabajo
Copacabana;2;Copacabana;Barbosa;Regreso a casa
Sabaneta;2;Sabaneta;Medellin;Al Trabajo
Girardota;2;Girardota;Medellin;Diligencia o tr√°mite
Girardota;2;Girardota;Medellin;Acompa√±ar a alguien
Girardota;2;Girardota;Girardota;Estudio
Girardota;3;Girardota;Girardota;Al Trabajo
Girardota;3;Girardota;Girardota;Regreso a casa
Barbosa;2;Barbosa;Medellin;Diligencia o tr√°mite
Girardota;2;Girardota;Girardota;Recreaci√≥n
Girardota;2;Girardota;Bello;Recoger o dejar a alguien
Barbosa;2;Barbosa;Barbosa;Compras
Barbosa;2;Barbosa;Taraz√°;Al Trabajo
Taraz√°;2;Taraz√°;Barbosa;Regreso a casa
Copacabana;3;Copacabana;Barbosa;Al Trabajo
Barbosa;3;Barbosa;Copacabana;Regreso a casa
Barbosa;2;Barbosa;Girardota;Salud
Sabaneta;3;Sabaneta;Medellin;Estudio
Medellin;3;Medellin;Sabaneta;Regreso a casa
Bello;3;Bello;Girardota;Regreso a casa
Medellin;3;Medellin;Municipios Norte;Al Trabajo
Girardota;2;Girardota;Girardota;Recoger o dejar a alguien
Girardota;2;Girardota;Guarne;Al Trabajo
Guarne;2;Guarne;Girardota;Regreso a casa
Barbosa;2;Barbosa;Municipios Norte;Al Trabajo
Municipios Norte;2;Municipios Norte;Barbosa;Regreso a casa
Barbosa;2;Barbosa;Barbosa;Salud
Girardota;1;Girardota;Girardota;Al Trabajo
Girardota;1;Girardota;Girardota;Regreso a casa
Girardota;3;Girardota;Medellin;Estudio
Medellin;3;Medellin;Girardota;Regreso a casa
Barbosa;2;Barbosa;Copacabana;Otro
Girardota;2;Girardota;Medellin;Salud
La Estrella;1;La Estrella;Sabaneta;Al Trabajo
Sabaneta;1;Sabaneta;La Estrella;Regreso a casa
Envigado;2;Envigado;Barbosa;Regreso a casa
Girardota;2;Girardota;Itagui;Estudio
Itagui;2;Itagui;Girardota;Regreso a casa
Barbosa;2;Barbosa;Barbosa;Otro
Barbosa;1;Barbosa;Medellin;Diligencia o tr√°mite
Girardota;3;Girardota;Yarumal;Al Trabajo
Yarumal;3;Yarumal;Girardota;Regreso a casa
Barbosa;2;Barbosa;Barbosa;Recoger o dejar a alguien
Barbosa;2;Barbosa;Barbosa;Estudio
Girardota;2;Girardota;Copacabana;Diligencia o tr√°mite
Barbosa;1;Barbosa;Medellin;Al Trabajo
Barbosa;1;Barbosa;Municipios Norte;Al Trabajo
Municipios Norte;1;Municipios Norte;Barbosa;Regreso a casa
Barbosa;3;Barbosa;Medellin;Estudio
Medellin;3;Medellin;Barbosa;Regreso a casa
La Estrella;3;La Estrella;Medellin;Estudio
Barbosa;1;Barbosa;Copacabana;Al Trabajo
Barbosa;1;Barbosa;Girardota;Al Trabajo
Girardota;1;Girardota;Barbosa;Regreso a casa
Barbosa;1;Barbosa;Municipios Norte;Diligencia o tr√°mite
Barbosa;3;Barbosa;Copacabana;Estudio
Copacabana;3;Copacabana;Barbosa;Regreso a casa
Barbosa;3;Barbosa;Barbosa;Al Trabajo
Barbosa;3;Barbosa;Barbosa;Regreso a casa
Barbosa;1;Barbosa;Barbosa;Recoger o dejar a alguien
Barbosa;1;Barbosa;Bello;Al Trabajo
Bello;1;Bello;Barbosa;Estudio
Girardota;3;Girardota;Envigado;Al Trabajo
Envigado;3;Envigado;Girardota;Regreso a casa
Barbosa;3;Barbosa;Medellin;Salud
Barbosa;3;Barbosa;Bello;Al Trabajo
Bello;3;Bello;Barbosa;Regreso a casa
Barbosa;2;Barbosa;Bello;Estudio
Barbosa;2;Barbosa;Girardota;Almuerzo
Girardota;3;Girardota;Bello;Estudio
Medellin;6;Medellin;Medellin;Al Trabajo
Medellin;6;Medellin;Medellin;Regreso a casa
Girardota;3;Girardota;Girardota;Estudio
Envigado;5;Envigado;Medellin;Al Trabajo
Medellin;5;Medellin;Envigado;Regreso a casa
Sabaneta;3;Sabaneta;Medellin;Al Trabajo
Sabaneta;3;Sabaneta;Rionegro;Al Trabajo
Rionegro;3;Rionegro;Sabaneta;Regreso a casa
Envigado;5;Envigado;Sabaneta;Al Trabajo
Sabaneta;5;Sabaneta;Envigado;Regreso a casa
Girardota;2;Girardota;La Estrella;Al Trabajo
La Estrella;2;La Estrella;Girardota;Regreso a casa
Medellin;4;Medellin;Envigado;Al Trabajo
Envigado;4;Envigado;Medellin;Regreso a casa
Itagui;3;Itagui;Pereira;Al Trabajo
Pereira;3;Pereira;Itagui;Regreso a casa
Itagui;3;Itagui;Medellin;Salud
Barbosa;2;Barbosa;Bajo Cauca;Al Trabajo
Barbosa;3;Barbosa;Copacabana;Al Trabajo
Barbosa;3;Barbosa;Girardota;Al Trabajo
Girardota;3;Girardota;Barbosa;Regreso a casa
Itagui;4;Itagui;Bello;Al Trabajo
Bello;4;Bello;Itagui;Regreso a casa
Barbosa;1;Barbosa;Barbosa;Compras
Itagui;4;Itagui;Itagui;Recoger o dejar a alguien
Envigado;5;Envigado;Envigado;Diligencia o tr√°mite
Envigado;5;Envigado;Envigado;Regreso a casa
Envigado;5;Envigado;Envigado;Al Trabajo
Envigado;5;Envigado;Envigado;Estudio
Envigado;2;Envigado;Envigado;Otro
Envigado;2;Envigado;Medellin;Otro
Envigado;1;Envigado;Medellin;Al Trabajo
Medellin;1;Medellin;Envigado;Regreso a casa
Envigado;1;Envigado;Sabaneta;Al Trabajo
Sabaneta;1;Sabaneta;Envigado;Regreso a casa
Envigado;3;Envigado;Itagui;Diligencia o tr√°mite
Caldas;2;Caldas;Medellin;Estudio
Medellin;5;Medellin;Envigado;Almuerzo
Envigado;2;Envigado;Envigado;Recreaci√≥n
La Estrella;4;La Estrella;Sabaneta;Recreaci√≥n
Sabaneta;4;Sabaneta;Medellin;Al Trabajo
Itagui;3;Itagui;Envigado;Almuerzo
Envigado;3;Envigado;Rionegro;Al Trabajo
Rionegro;3;Rionegro;Envigado;Regreso a casa
La Estrella;2;La Estrella;La Estrella;Compras
La Estrella;2;La Estrella;La Estrella;Regreso a casa
La Estrella;2;La Estrella;La Estrella;Al Trabajo
La Estrella;2;La Estrella;La Estrella;Diligencia o tr√°mite
La Estrella;3;La Estrella;Itagui;Diligencia o tr√°mite
Itagui;3;Itagui;La Estrella;Regreso a casa
Medellin;6;Medellin;Medellin;Recreaci√≥n
Medellin;6;Medellin;Medellin;Estudio
Medellin;3;Medellin;Itagui;Salud
Sabaneta;4;Sabaneta;Sabaneta;Estudio
Sabaneta;4;Sabaneta;Sabaneta;Regreso a casa
Medellin;4;Medellin;Medellin;Al Trabajo
Medellin;3;Medellin;Itagui;Recreaci√≥n
Medellin;5;Medellin;Medellin;Al Trabajo
Medellin;5;Medellin;Medellin;Regreso a casa
Medellin;3;Medellin;Copacabana;Al Trabajo
Copacabana;3;Copacabana;Medellin;Regreso a casa
Medellin;5;Medellin;Medellin;Estudio
Itagui;3;Itagui;Medellin;Diligencia o tr√°mite
Medellin;3;Medellin;Girardota;Al Trabajo
Girardota;3;Girardota;Medellin;Regreso a casa
Bello;4;Bello;Medellin;Regreso a casa
Caldas;2;Caldas;Envigado;Al Trabajo
Envigado;2;Envigado;Caldas;Regreso a casa
Medellin;3;Medellin;Itagui;Compras
Caldas;3;Caldas;Sabaneta;Al Trabajo
Sabaneta;3;Sabaneta;Caldas;Regreso a casa
Medellin;4;Medellin;Medellin;Almuerzo
Caldas;3;Caldas;La Ceja;Al Trabajo
La Ceja;3;La Ceja;Caldas;Regreso a casa
Sabaneta;2;Sabaneta;Sabaneta;Al Trabajo
Sabaneta;2;Sabaneta;Sabaneta;Estudio
Sabaneta;2;Sabaneta;Sabaneta;Regreso a casa
Caldas;2;Caldas;Rionegro;Estudio
Rionegro;2;Rionegro;Caldas;Regreso a casa
Medellin;2;Medellin;Marinilla;Al Trabajo
Marinilla;2;Marinilla;Medellin;Regreso a casa
Caldas;2;Caldas;La Estrella;Regreso a casa
Caldas;2;Caldas;Medellin;Diligencia o tr√°mite
Medellin;3;Medellin;Sabaneta;Al Trabajo
Sabaneta;3;Sabaneta;Medellin;Regreso a casa
Medellin;5;Medellin;Rionegro;Al Trabajo
Sabaneta;2;Sabaneta;Caldas;Al Trabajo
Caldas;2;Caldas;Sabaneta;Regreso a casa
Caldas;3;Caldas;Envigado;Diligencia o tr√°mite
Envigado;3;Envigado;Caldas;Regreso a casa
Medellin;4;Medellin;Caldas;Salud
Caldas;4;Caldas;Medellin;Regreso a casa
Medellin;2;Medellin;Sabaneta;Regreso a casa
Caldas;2;Caldas;Medellin;Compras
Caldas;3;Caldas;Caldas;Regreso a casa
Medellin;4;Medellin;El Retiro;Al Trabajo
El Retiro;4;El Retiro;Medellin;Almuerzo
El Retiro;4;El Retiro;Medellin;Regreso a casa
Medellin;6;Medellin;Bello;Al Trabajo
Bello;6;Bello;Medellin;Regreso a casa
Envigado;3;Envigado;Bogot√° D.C.;Al Trabajo
Medellin;5;Medellin;Medellin;Diligencia o tr√°mite
Envigado;3;Envigado;Guarne;Al Trabajo
Guarne;3;Guarne;Envigado;Regreso a casa
Envigado;2;Envigado;Sabaneta;Al Trabajo
Sabaneta;2;Sabaneta;Envigado;Regreso a casa
Sabaneta;3;Sabaneta;Itagui;Al Trabajo
Itagui;3;Itagui;Sabaneta;Regreso a casa
Medellin;5;Medellin;Medellin;Recreaci√≥n
Medellin;5;Medellin;Sabaneta;Estudio
Sabaneta;5;Sabaneta;Medellin;Regreso a casa
Medellin;2;Medellin;Medellin;Acompa√±ar a alguien
Medellin;5;Medellin;Medellin;Recoger o dejar a alguien
Medellin;3;Medellin;Medellin;Acompa√±ar a alguien
Medellin;4;Medellin;Rionegro;Al Trabajo
Rionegro;4;Rionegro;Medellin;Regreso a casa
Medellin;6;Medellin;Medellin;Diligencia o tr√°mite
Caldas;2;Caldas;La Estrella;Acompa√±ar a alguien
Medellin;3;Medellin;Municipios del Sur;Al Trabajo
Municipios del Sur;3;Municipios del Sur;Medellin;Regreso a casa
Medellin;5;Medellin;Itagui;Al Trabajo
Itagui;5;Itagui;Medellin;Regreso a casa
Medellin;2;Medellin;Bello;Estudio
Medellin;4;Medellin;Itagui;Al Trabajo
Itagui;4;Itagui;Medellin;Regreso a casa
Medellin;4;Medellin;Envigado;Recoger o dejar a alguien
Medellin;4;Medellin;Medellin;Diligencia o tr√°mite
Sabaneta;3;Sabaneta;Sabaneta;Al Trabajo
Medellin;4;Medellin;Sabaneta;Al Trabajo
Sabaneta;4;Sabaneta;Medellin;Regreso a casa
Medellin;4;Medellin;Medellin;Salud
Medellin;4;Medellin;Envigado;Almuerzo
Medellin;3;Medellin;Medellin;Compras
Itagui;3;Itagui;Medellin;Almuerzo
Medellin;3;Medellin;Caldas;Al Trabajo
Caldas;3;Caldas;Medellin;Regreso a casa
Medellin;3;Medellin;Bello;Recoger o dejar a alguien
Medellin;4;Medellin;Medellin;Recoger o dejar a alguien
Caldas;1;Caldas;Caldas;Al Trabajo
Caldas;1;Caldas;Caldas;Regreso a casa
Medellin;5;Medellin;Caldas;Al Trabajo
Caldas;5;Caldas;Medellin;Regreso a casa
Medellin;3;Medellin;Bello;Estudio
Medellin;4;Medellin;Copacabana;Al Trabajo
Copacabana;4;Copacabana;Medellin;Regreso a casa
Medellin;2;Medellin;Copacabana;Diligencia o tr√°mite
Medellin;2;Medellin;Medellin;Compras
Medellin;2;Medellin;Municipios Occidente;Recreaci√≥n
Medellin;4;Medellin;Girardota;Al Trabajo
Girardota;4;Girardota;Medellin;Regreso a casa
Medellin;4;Medellin;Municipios Oriente;Al Trabajo
Municipios Oriente;4;Municipios Oriente;Medellin;Regreso a casa
Medellin;1;Medellin;Municipios Occidente;Al Trabajo
Municipios Occidente;1;Municipios Occidente;Medellin;Regreso a casa
Envigado;2;Envigado;Medellin;Recoger o dejar a alguien
Guarne;2;Guarne;Medellin;Regreso a casa
Medellin;2;Medellin;Medellin;Almuerzo
Medellin;3;Medellin;Envigado;Diligencia o tr√°mite
Medellin;2;Medellin;Ituango;Al Trabajo
Medellin;2;Medellin;Barbosa;Al Trabajo
Barbosa;2;Barbosa;Medellin;Regreso a casa
Medellin;3;Medellin;Barbosa;Estudio
Barbosa;3;Barbosa;Medellin;Regreso a casa
Barbosa;1;Barbosa;Barbosa;Diligencia o tr√°mite
Barbosa;3;Barbosa;Barbosa;Diligencia o tr√°mite
Barbosa;2;Barbosa;Municipios Norte;Estudio
Barbosa;2;Barbosa;Municipios Norte;Compras
Medellin;2;Medellin;El Retiro;Al Trabajo
El Retiro;2;El Retiro;Medellin;Regreso a casa
Barbosa;3;Barbosa;Barbosa;Recoger o dejar a alguien
Barbosa;1;Barbosa;Barbosa;Otro
Girardota;2;Girardota;Girardota;Almuerzo
Girardota;2;Girardota;Girardota;Salud
Girardota;2;Girardota;Girardota;Acompa√±ar a alguien
Barbosa;2;Barbosa;Barbosa;Acompa√±ar a alguien
La Estrella;2;La Estrella;Sabaneta;Al Trabajo
La Estrella;3;La Estrella;Itagui;Al Trabajo
La Estrella;2;La Estrella;Medellin;Estudio
Girardota;1;Girardota;Girardota;Recoger o dejar a alguien
Barbosa;1;Barbosa;Barbosa;Estudio
Barbosa;1;Barbosa;Medellin;Compras
Barbosa;1;Barbosa;Barbosa;Acompa√±ar a alguien
Girardota;2;Girardota;Barbosa;Recreaci√≥n
Itagui;2;Itagui;Caldas;Recoger o dejar a alguien
Caldas;2;Caldas;Itagui;Regreso a casa
Girardota;2;Girardota;Itagui;Al Trabajo
Itagui;2;Itagui;Barbosa;Diligencia o tr√°mite
Barbosa;2;Barbosa;Girardota;Diligencia o tr√°mite
Girardota;2;Girardota;Barbosa;Compras
